history_stratum,prediction_type,n_patients,n_landmarks,mean_horizon_auroc,mean_horizon_auprc,mean_horizon_brier,integrated_brier_0_5y,mean_absolute_calibration_gap,mean_absolute_calibration_intercept,mean_absolute_calibration_slope_error
all,raw_zero_shot,12052,26303,0.7474097509467574,0.48619586075177623,0.15943804429962044,0.14797011024641954,0.06663871071892771,0.4447276997011511,0.2397837853485729
all,cross_fitted_intercept_only,12052,26303,0.7475960740031204,0.49617632670167144,0.15125815572826082,0.13993639615747527,0.026824937578698707,0.16483082079108424,0.2408499773823138
all,cross_fitted_intercept_slope,12052,26303,0.7513028339909009,0.5024896250445281,0.149439263881642,0.13826709785192834,0.034019276474979515,0.19055595343933424,0.0190479297255107
Snapshot,raw_zero_shot,8817,8817,0.7388491806959839,0.5246664486216448,0.17223105070356515,0.16041176302960558,0.10436378503414788,0.6237403783496857,0.2451066041155642
Snapshot,cross_fitted_intercept_only,8817,8817,0.7361345137303019,0.5220176372180272,0.15770527899562464,0.14601499428857903,0.04106406625336555,0.2129542600205841,0.15814065535635824
Snapshot,cross_fitted_intercept_slope,8817,8817,0.7360855432769761,0.5216005062759637,0.15711363571572334,0.14551666610576844,0.0423725188959635,0.22173425508232167,0.052797788755036185
LongitudinalTransformer,raw_zero_shot,7791,17486,0.7636648824524908,0.4799797466644451,0.14681494312072418,0.13571114344436935,0.03379674891313993,0.2752990532901691,0.3126648738791944
LongitudinalTransformer,cross_fitted_intercept_only,7791,17486,0.7634890423206826,0.47934693109973303,0.14579526995346304,0.13483137515651336,0.015560869909636007,0.11553766681254327,0.32913476191185015
LongitudinalTransformer,cross_fitted_intercept_slope,7791,17486,0.7629970403491307,0.4787312954558273,0.14288597239954728,0.13212724667864284,0.0275775152904832,0.16459619701587844,0.003821552811443113
