scenario,history_stratum,prediction_type,horizon_years,bin_index,n_landmarks,n_patients,prediction_min,prediction_max,patient_balanced_mean_prediction,weighted_km_observed_risk,calibration_difference
no_ADAS13,all,cross_fitted_intercept_only,3,0,2630,1482,0.04471542693395236,0.08864537006420958,0.06632208063585991,0.07311152352837813,-0.006789442892518219
no_ADAS13,all,cross_fitted_intercept_only,3,1,2630,1775,0.08867114971215606,0.14323390735438235,0.11483142917244839,0.15499811719368362,-0.04016668802123523
no_ADAS13,all,cross_fitted_intercept_only,3,2,2630,1950,0.14325418554878,0.20880156240308712,0.1768957015998292,0.18824038332495496,-0.01134468172512576
no_ADAS13,all,cross_fitted_intercept_only,3,3,2631,2201,0.2088537059098594,0.271982895605802,0.24161380631478757,0.1983592665436933,0.04325453977109428
no_ADAS13,all,cross_fitted_intercept_only,3,4,2630,2333,0.2719847343544396,0.3360763669918386,0.30409595168413767,0.2456101011741918,0.05848585050994587
no_ADAS13,all,cross_fitted_intercept_only,3,5,2630,2361,0.3361124820263296,0.40619572966026396,0.3696532561152153,0.3363832724070739,0.03326998370814144
no_ADAS13,all,cross_fitted_intercept_only,3,6,2631,2365,0.40619794303078227,0.49885140348161305,0.4506007077172964,0.40873236832545434,0.041868339391842035
no_ADAS13,all,cross_fitted_intercept_only,3,7,2630,2242,0.498873618613233,0.6211171467574579,0.5568675019283302,0.5274250513302657,0.029442450598064496
no_ADAS13,all,cross_fitted_intercept_only,3,8,2630,2099,0.6211355282447475,0.7762582738493364,0.6973825232818934,0.6473115069298896,0.05007101635200384
no_ADAS13,all,cross_fitted_intercept_only,3,9,2631,1831,0.7762584150041548,0.9999328827373426,0.8615368133566703,0.7284277800965528,0.13310903326011747
no_ADAS13,all,cross_fitted_intercept_only,5,0,2630,1485,0.08898412498914454,0.177504857556667,0.13459319887513138,0.1389168213525822,-0.004323622477450828
no_ADAS13,all,cross_fitted_intercept_only,5,1,2630,1831,0.17754137634400058,0.2759067620504678,0.2267115146285036,0.25807907341880265,-0.03136755879029904
no_ADAS13,all,cross_fitted_intercept_only,5,2,2630,2089,0.27594598943528215,0.36679880720229785,0.3237957225600228,0.29416818289689795,0.02962753966312487
no_ADAS13,all,cross_fitted_intercept_only,5,3,2631,2226,0.36681935111979025,0.4425907196833966,0.4056116419943308,0.32732931737834625,0.07828232461598456
no_ADAS13,all,cross_fitted_intercept_only,5,4,2630,2308,0.4425907196833966,0.5191213283023316,0.48070144037938556,0.3900885270003408,0.09061291337904476
no_ADAS13,all,cross_fitted_intercept_only,5,5,2630,2316,0.5191234122063915,0.6044079577276311,0.560278592684745,0.49611877915412617,0.06415981353061884
no_ADAS13,all,cross_fitted_intercept_only,5,6,2631,2289,0.6044288487856403,0.7052940359535378,0.6526985674803518,0.5941281530253515,0.05857041445500033
