model,scenario,history_stratum,prediction_type,horizon_years,n_landmarks,n_patients,n_cases,n_controls,auroc,auprc,brier,weighted_prevalence,weighted_mean_prediction,absolute_calibration_gap,max_ipcw_factor,metric_status
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,history1_logistic,raw,1,758,758,27,533,0.7960843231818202,0.267910990627292,0.07965952351182112,0.09359670998613016,0.05642376917860398,0.037172940807526186,1.7258393461031019,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,history1_logistic,raw,2,758,758,60,405,0.7599260737118644,0.4191466696847013,0.1408491940364371,0.19401407575043017,0.1384879335953759,0.055526142155054276,2.5628157715216324,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,history1_logistic,raw,3,758,758,99,309,0.7771057017810024,0.5878821000229197,0.18358808957574096,0.3180177932800296,0.2500135907949683,0.06800420248506128,3.264221732216435,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,history1_logistic,raw,5,758,758,140,159,0.8082312357998968,0.739950197757848,0.18785990827424773,0.4512793492199862,0.41531364500199236,0.03596570421799383,6.039876347991747,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,history1_logistic,cross_fitted_calibrated,1,758,758,27,533,0.7581943744718087,0.21199465544196305,0.08251559995077133,0.09359670998613016,0.0987225360396782,0.005125826053548041,1.7258393461031019,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,history1_logistic,cross_fitted_calibrated,2,758,758,60,405,0.723112634716031,0.36039916318558807,0.14590767888296707,0.19401407575043017,0.22067434982375023,0.026660274073320056,2.5628157715216324,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,history1_logistic,cross_fitted_calibrated,3,758,758,99,309,0.7512268545728306,0.552254778308072,0.18587703351405213,0.3180177932800296,0.3520402924624235,0.03402249918239392,3.264221732216435,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,history1_logistic,cross_fitted_calibrated,5,758,758,140,159,0.7955345895440824,0.7301161121780324,0.19215256062895103,0.4512793492199862,0.5227753716071917,0.07149602238720548,6.039876347991747,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,history_ge_2_v61,raw,1,3464,1098,218,2955,0.7993876978387303,0.33045196118095127,0.09266619840200636,0.12112357116396451,0.11381925795935806,0.00730431320460645,1.1722614290002968,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,history_ge_2_v61,raw,2,3464,1098,521,2194,0.8219021882576144,0.6355123132925695,0.15010529069710699,0.28016155680433585,0.274839922082428,0.005321634721907831,1.5432763047370626,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,history_ge_2_v61,raw,3,3464,1098,706,1656,0.836420810571727,0.7400655450414644,0.16057516379540718,0.37451819071602105,0.37379708823039526,0.0007211024856257908,1.9977830618097057,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,history_ge_2_v61,raw,5,3464,1098,905,954,0.8689668977900878,0.8608561763814577,0.1492948567999691,0.4861546009174126,0.4993359237285889,0.013181322811176344,3.312024071416148,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,history_ge_2_v61,cross_fitted_calibrated,1,3464,1098,218,2955,0.7938404157776954,0.3257112218066481,0.09297102515360176,0.12112357116396451,0.12859493156795507,0.0074713604039905596,1.1722614290002968,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,history_ge_2_v61,cross_fitted_calibrated,2,3464,1098,521,2194,0.818657422384056,0.6329044323494122,0.14962714507143848,0.28016155680433585,0.30052741698498475,0.020365860180648898,1.5432763047370626,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,history_ge_2_v61,cross_fitted_calibrated,3,3464,1098,706,1656,0.8311453035433543,0.722966379858992,0.160628447072212,0.37451819071602105,0.40044205765142665,0.025923866935405604,1.9977830618097057,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,history_ge_2_v61,cross_fitted_calibrated,5,3464,1098,905,954,0.8623077136119219,0.8505534009645447,0.15155481544152333,0.4861546009174126,0.5233641747940561,0.037209573876643476,3.312024071416148,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,history_ge_3_v61,raw,1,2964,996,185,2536,0.8412801340200674,0.369786782699043,0.08194871338102232,0.11175611465764039,0.10431910821817368,0.007437006439466709,1.1443906105647919,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,history_ge_3_v61,raw,2,2964,996,414,1889,0.8377857520527671,0.6309248439744617,0.13448673574646933,0.24591089734818103,0.25082258610299196,0.004911688754810933,1.5313181032370853,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,history_ge_3_v61,raw,3,2964,996,567,1420,0.8506692709090824,0.7351995599523174,0.14702446409205985,0.3406579259073935,0.34434354914975174,0.003685623242358216,1.988024399589658,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,history_ge_3_v61,raw,5,2964,996,719,823,0.8782699680937657,0.853693728739319,0.14135041422303174,0.44378501359857636,0.46443680608497295,0.020651792486396592,3.329269144317612,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,history_ge_3_v61,cross_fitted_calibrated,1,2964,996,185,2536,0.838131812112815,0.36907980451933126,0.08252233232084191,0.11175611465764039,0.11915532630485595,0.007399211647215562,1.1443906105647919,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,history_ge_3_v61,cross_fitted_calibrated,2,2964,996,414,1889,0.8360404782112912,0.6257180201207326,0.1348372590505956,0.24591089734818103,0.2782555497165166,0.032344652368335586,1.5313181032370853,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,history_ge_3_v61,cross_fitted_calibrated,3,2964,996,567,1420,0.8462590645642596,0.7212387897815032,0.1481119720266073,0.3406579259073935,0.373477635837064,0.03281970992967048,1.988024399589658,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,history_ge_3_v61,cross_fitted_calibrated,5,2964,996,719,823,0.8718997709678336,0.8435400165958726,0.14451694741179558,0.44378501359857636,0.49089356275350743,0.04710854915493107,3.329269144317612,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,history_depth_2,raw,1,500,498,33,419,0.6429681722015587,0.25380897141830594,0.13371631012004265,0.15714639702786962,0.1500219369267434,0.007124460101126218,1.2780020413230813,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,history_depth_2,raw,2,500,498,107,305,0.7471572424483028,0.6556085376310977,0.2066525239807988,0.40691842866610634,0.36066701753991964,0.04625141112618669,1.570206116542385,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,history_depth_2,raw,3,500,498,139,236,0.7651755984156243,0.7613380107356416,0.20792869459082078,0.4992855623420007,0.4783083735795368,0.020977188762463905,2.004913259450856,cumulative_dynamic_ipcw_patient_balanced_evaluation
history_adaptive_logistic_v61_transformer_cdrsb_qc,no_ADAS13,history_depth_2,raw,5,500,498,186,131,0.8157091339302198,0.8844748257993742,0.1740383524911949,0.6390908301952608,0.6202771372659021,0.01881369292935875,3.1523548046714005,cumulative_dynamic_ipcw_patient_balanced_evaluation
